nr_ucz zach rel_ety jpol jang jniem mat his geo bio fiz che tech inf plas po wf sred
9201 wzorowe 5 5 5 5 5 4 4 4 4 4 5     4,55
9202 wzorowe 5 4 5 5 5 4 3 3 4 4 4 4    4,17
9211 dobre 3 5 5 3 2 3 3 2 3 3 3     3,18
9217 wzorowe 6 4 5 5 5 5 4 5 5 4 4 5    4,75
9224 dobre 5 4 4 4 3 3 3 4 3 3 4 4    3,67
9231 poprawne 3 3 5 4 2 2 4 3 3 2 3     3,09
9233 wzorowe 5 4 4 4 4 4 3 4 5 5 6 4    4,33
9234 nieodpowiednie 3 3 4 5 3 3 3 3 2 2 4 3    3,17
9241 dobre 4 4 4 5 4 4 3 4 3 3 4 4    3,83
9248 poprawne 3 3 3 3 2 2 2 2 2 3 5 3    2,75
9254 dobre 5 3 4 5 4 3 3 3 3 4 6 4    3,92
9257 dobre 4 4 4 4 4 3 4 4 4 5 4     4,00
9265 wzorowe 5 4 5 5 5 3 4 4 4 3 6 4    4,33
9291 dobre 3 3 4 4 4 3 3 3 3 3 4 3    3,33
9299 nieodpowiednie 3 4 4 3 2 3 4 3 2 3 3 3    3,08
9311 wzorowe 5 5 5 5 5 6 5 5 5 5 5     5,09
9327 nieodpowiednie 3 3 3 2 2 3 2 3 2 3      2,60
9343 poprawne 3 3 4 3 2 3 2 3 3 2 3 3    2,83
9353 dobre 3 4 6 5 4 4 4 3 3 4 4 4    4,00
9370 poprawne 3 4 3 4 2 2 3 2 2 2 3 3    2,75
9386 wzorowe 5 4 4 5 5 4 4 5 4 4 4     4,36
9416 dobre 4 4 4 5 3 3 4 4 4 4 4     3,91
9421 wzorowe 5 4 5 5 4 5 4 5 4 5 4 5    4,58
9430 wzorowe 5 4 5 5 5 6 4 5 5 4 4 5    4,75
9437 dobre 5 4 4 4 2 4 3 2 3 3 4 3    3,42
9457 dobre 5 3 5 4 3 3 3 2 3 4 4 4    3,58
9473 dobre 5 4 5 5 4 3 4 4 3 4 4 4    4,08
9478 dobre 3 4 6 5 3 3 4 4 3 4 4 4    3,92
9481 dobre 4 3 3 4 4 2 2 4 3 4 4 3    3,33
9483 poprawne 3 3 4 3 2 2 2 2 2 2 5 3    2,75
9486 wzorowe 5 5 5 5 5 5 3 4 4 4 5 5    4,58
9494 wzorowe 4 4 6 5 3 4 4 4 3 4 4 4    4,08
9504 wzorowe 5 4 4 5 2 3 4 4 3 2 5 6 3 4 4 3,87
9551 dobre 3 3 2 2 3 3 3 2 2 5 5 3 3   3,00
9562 dobre 4 3 4 4 3 3 3 3 3 3 5 5 4 4  3,64
9566 dobre 4 5 6 4 4 5 4 4 5 4 5 5 5   4,62
9567 dobre 4 4 4 2 2 3 3 3 3 2 5 5 4 3  3,36
9568 dobre 4 3 3 3 2 3 3 3 3 4 5 5 6 4  3,64
9575 dobre 4 4 4 4 3 3 4 3 2 3 4 5 4 4  3,64
9593 poprawne 4 2 3 4 2 2 3 3 4 3 3 5 3 3  3,14
9595 dobre 6 4 5 3 3 3 4 4 3 4 5 5 4 4  4,07
9605 dobre 5 3 4 4 3 2 3 3 3 3 4 5 4 4  3,57
